Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07231;Bernkastel-Wittlich, Landkreis;113194
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07232;Eifelkreis Bitburg-Prüm;100959
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07233;Vulkaneifel, Landkreis;60882
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07235;Trier-Saarburg, Landkreis;151167
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07311;Frankenthal (Pfalz), kreisfreie Stadt;48773
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07312;Kaiserslautern, kreisfreie Stadt;99292
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07313;Landau in der Pfalz, kreisfreie Stadt;46919
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07314;Ludwigshafen am Rhein, kreisfreie Stadt;172145
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07315;Mainz, kreisfreie Stadt;217556
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07316;Neustadt an der Weinstraße, kreisfreie Stadt;53491
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07317;Pirmasens, kreisfreie Stadt;40054
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07318;Speyer, kreisfreie Stadt;50565
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07319;Worms, kreisfreie Stadt;83850
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07320;Zweibrücken, kreisfreie Stadt;34091
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07331;Alzey-Worms, Landkreis;131330
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07332;Bad Dürkheim, Landkreis;133206
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07333;Donnersbergkreis;75569
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07334;Germersheim, Landkreis;129313
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07335;Kaiserslautern, Landkreis;106853
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07336;Kusel, Landkreis;69949
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2021;KREISE;Kreise;07337;Südliche Weinstraße, Landkreis;111279
